code,trade_quote,time,time_actual,trade_price,open,high,low,ask_price_trade,bid_price_trade,ask_amount_trade,bid_amount_trade,change,volume,acc_volume,acc_buy_volume,acc_sell_volume,trade_buy_sell,trade_incoming_option,ask_price_1,ask_price_2,ask_price_3,ask_price_4,ask_price_5,ask_amount_1,ask_amount_2,ask_amount_3,ask_amount_4,ask_amount_5,ask_amount_total,ask_count_1,ask_count_2,ask_count_3,ask_count_4,ask_count_5,ask_count_total,bid_price_1,bid_price_2,bid_price_3,bid_price_4,bid_price_5,bid_amount_1,bid_amount_2,bid_amount_3,bid_amount_4,bid_amount_5,bid_amount_total,bid_count_1,bid_count_2,bid_count_3,bid_count_4,bid_count_5,bid_count_total
167R9,quote,152703,15:27:05.102081,,,,,,,,,,,,,,,,128.07,128.08,128.09,128.1,128.11,4,123,87,168,131,5735,1,10,9,15,13,720,128.06,128.05,128.04,128.03,128.02,23,147,184,125,55,4826,6,15,15,8,12,556
167R9,quote,152703,15:27:05.103078,,,,,,,,,,,,,,,,128.07,128.08,128.09,128.1,128.11,4,123,87,168,123,5727,1,10,9,15,12,719,128.06,128.05,128.04,128.03,128.02,23,147,184,125,55,4826,6,15,15,8,12,556
167R9,quote,152704,15:27:05.785254,,,,,,,,,,,,,,,,128.07,128.08,128.09,128.1,128.11,4,123,87,168,123,5727,1,10,9,15,12,719,128.06,128.05,128.04,128.03,128.02,23,147,184,125,55,4826,6,15,15,8,12,556
167R9,quote,152705,15:27:06.283921,,,,,,,,,,,,,,,,128.07,128.08,128.09,128.1,128.11,4,123,87,168,123,5727,1,10,9,15,12,719,128.06,128.05,128.04,128.03,128.02,23,147,184,125,55,4826,6,15,15,8,12,556
167R9,quote,152705,15:27:06.473414,,,,,,,,,,,,,,,,128.07,128.08,128.09,128.1,128.11,4,123,87,168,123,5727,1,10,9,15,12,719,128.06,128.05,128.04,128.03,128.02,23,147,184,125,55,4826,6,15,15,8,12,556
167R9,quote,152705,15:27:06.534253,,,,,,,,,,,,,,,,128.07,128.08,128.09,128.1,128.11,4,123,87,168,123,5727,1,10,9,15,12,719,128.06,128.05,128.04,128.03,128.02,23,147,184,125,55,4826,6,15,15,8,12,556
167R9,quote,152705,15:27:07.032919,,,,,,,,,,,,,,,,128.07,128.08,128.09,128.1,128.11,4,123,87,168,123,5727,1,10,9,15,12,719,128.06,128.05,128.04,128.03,128.02,23,147,184,125,55,4826,6,15,15,8,12,556
167R9,quote,152706,15:27:07.472744,,,,,,,,,,,,,,,,128.07,128.08,128.09,128.1,128.11,4,123,87,168,123,5727,1,10,9,15,12,719,128.06,128.05,128.04,128.03,128.02,23,147,184,125,55,4826,6,15,15,8,12,556
167R9,quote,152706,15:27:07.535576,,,,,,,,,,,,,,,,128.07,128.08,128.09,128.1,128.11,4,123,87,168,123,5727,1,10,9,15,12,719,128.06,128.05,128.04,128.03,128.02,23,147,184,125,55,4826,6,15,15,8,12,556
167R9,quote,152706,15:27:07.536573,,,,,,,,,,,,,,,,128.07,128.08,128.09,128.1,128.11,4,123,87,168,123,5727,1,10,9,15,12,719,128.06,128.05,128.04,128.03,128.02,23,147,184,125,55,4826,6,15,15,8,12,556
